iter	AUC	Logloss
0	0.5498743355	0.6927898135
1	0.557962805	0.6924637538
2	0.5605139434	0.6922011119
3	0.5646223128	0.6919107247
4	0.5675971508	0.6916169997
5	0.5711172223	0.6913184767
6	0.5731447041	0.6910630841
7	0.5751881599	0.6907775471
8	0.5756892264	0.6905864069
9	0.5766974092	0.6903627754
10	0.5790075064	0.690160005
11	0.5809873939	0.6899271424
12	0.5814040005	0.6897542035
13	0.5823191702	0.6895686958
14	0.5832556784	0.6894012329
15	0.584458679	0.6892033128
16	0.5851139128	0.6889975697
17	0.5865770578	0.6887924524
18	0.5877014399	0.6885841017
19	0.5879693329	0.6884215934
20	0.5885697603	0.6882765562
21	0.5892314613	0.6880747768
22	0.5897399783	0.6878782126
23	0.5900279582	0.6877491343
24	0.589524895	0.6876831609
25	0.5902627409	0.6874929594
26	0.5909157693	0.6873230453
27	0.592079103	0.6871562604
28	0.5929700136	0.6869690316
29	0.5936128199	0.686791764
30	0.5949801505	0.6866023448
31	0.5958073735	0.6864319092
32	0.5966387391	0.6862495306
33	0.5968955159	0.6861759951
34	0.5975451469	0.6860665784
35	0.5981695056	0.6858871725
36	0.5986085236	0.6857545477
37	0.5988442302	0.6856868533
38	0.5992679	0.6855339932
39	0.6002225876	0.6854335468
40	0.600487709	0.6853621495
41	0.6010180712	0.685261651
42	0.6013602614	0.6851619868
43	0.6015681922	0.6850865738
44	0.6019707322	0.6850062062
45	0.6022029221	0.6848996579
46	0.6033914983	0.6847500834
47	0.6039174795	0.6846259075
48	0.6048362553	0.6844604264
49	0.6058809161	0.6843277495
50	0.6068523228	0.6841857372
51	0.6075387001	0.684007583
52	0.6079649627	0.6839108395
53	0.6085675955	0.6837842644
54	0.6093166769	0.6836572722
55	0.6095791161	0.6835556784
56	0.6106606126	0.6833973423
57	0.611109972	0.6832717582
58	0.6122317314	0.6830843208
59	0.6121824384	0.6830641376
60	0.6122857034	0.6829966518
61	0.6124822497	0.6828799858
62	0.6131693125	0.6827592519
63	0.6134873033	0.6826541639
64	0.6138638854	0.6825350467
65	0.6148442924	0.6823869326
66	0.6153538227	0.682305209
67	0.6157404184	0.6822115946
68	0.616002202	0.6821629882
69	0.6166551113	0.6820072597
70	0.6173148155	0.6818532001
71	0.6181067228	0.6817183849
72	0.6183837652	0.6816181471
73	0.6187180579	0.6815171792
74	0.6191681027	0.6814153768
75	0.6194398999	0.6813163385
76	0.6200348139	0.6811923189
77	0.6208392978	0.6810359646
78	0.6211386919	0.6809299378
79	0.622274816	0.6807615884
80	0.6234257817	0.6805849987
81	0.6240443587	0.6804754777
82	0.6250397265	0.6803117699
83	0.6256386042	0.6801603701
84	0.6257835329	0.6801037321
85	0.6261948943	0.6799963493
86	0.6270678639	0.6798426548
87	0.6276096106	0.6797024679
88	0.6281974316	0.6795652015
89	0.6285798848	0.6794569843
90	0.6291867495	0.6793092352
91	0.6297402978	0.6792063898
92	0.6297903061	0.679180887
93	0.6302278638	0.6791108457
94	0.6304527223	0.679031104
95	0.6306927204	0.6789445302
96	0.6309182644	0.6788759492
97	0.6311045885	0.6788195719
98	0.6309965253	0.6788136787
99	0.6313980818	0.6787442632
100	0.6318331063	0.6786202437
101	0.6322828531	0.6785056116
102	0.6327199936	0.6783858165
103	0.6329723001	0.6783261536
104	0.6340513229	0.6781697993
105	0.6343468726	0.6781112838
106	0.635365814	0.6779552424
107	0.6355854571	0.6778416013
108	0.6359133124	0.6777610773
109	0.6362736821	0.6776747121
110	0.6364148855	0.677642273
111	0.6367367804	0.6775499624
112	0.6368074119	0.6774883699
113	0.637301147	0.6773973632
114	0.6380292177	0.6772628087
115	0.6385151744	0.67716158
116	0.6390319467	0.6770597255
